"Latitude (decimal degrees):	53.434",,,,,,
"Longitude (decimal degrees):	-9.060",,,,,,
"Elevation (m):	18",,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,
,,,,,,
,,,,,,
Slope: 30 deg. ,,,,,,
Azimuth: 0 deg. ,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	7.9",,,,,,
"System losses (%):	14.0",,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20200707:1511,1572.2,249.55,48.13,14.18,3.59,0
20200707:1611,1855.97,291.1,40.02,14.04,3.17,0
20200707:1711,596.3,105.95,31.24,13.95,2.97,0
20200707:1811,204.73,45.41,22.33,13.87,2.21,0
20200707:1911,121.02,31.22,13.67,13.85,1.72,0
20200707:2011,108.42,28.96,5.61,13.69,1.45,0
20200707:2111,0,0,0,13.46,1.1,0
20200707:2211,0,0,0,13.19,0.9,0
20200707:2311,0,0,0,12.94,1.1,0
20200708:0011,0,0,0,12.71,1.38,0
20200708:0111,0,0,0,12.49,1.72,0
20200708:0211,0,0,0,12.31,1.72,0
20200708:0311,0,0,0,12.14,1.93,0
20200708:0411,0,0,0,11.98,2,0
20200708:0511,0,4.53,5.54,11.85,2,0
20200708:0611,200.93,44.46,13.62,11.95,2.07,0
20200708:0711,524.94,94.6,22.28,12.03,2.07,0
20200708:0811,709.71,122.03,31.19,12.26,2.62,0
20200708:0911,1260.47,202.77,39.97,12.93,3.38,0
20200708:1011,803.17,136.22,48.07,13.18,2.97,0
20200708:1111,789.78,134.33,54.66,13.42,3.24,0
20200708:1211,1413.17,226.09,58.53,13.65,2.97,0
20200708:1311,1231.96,199.6,58.53,13.57,2.55,0
20200708:1411,1824.85,287.21,54.66,13.61,2.41,0
20200708:1511,1465.6,234.15,48.06,13.65,2.34,0
20200708:1611,1187.76,193.14,39.96,13.53,2.34,0
20200708:1711,641.04,112.57,31.18,13.58,2.21,0
20200708:1811,275.38,56.76,22.27,13.59,2.28,0
20200708:1911,45.86,17.03,13.61,13.49,2.07,0
20200708:2011,0,4.53,5.54,13.18,2.69,0
20200708:2111,0,0,0,12.76,3.38,0
20200708:2211,0,0,0,12.35,3.66,0
20200708:2311,0,0,0,12.07,3.59,0
20200709:0011,0,0,0,12.09,3.52,0
20200709:0111,0,0,0,12.11,3.38,0
20200709:0211,0,0,0,11.98,3.24,0
20200709:0311,0,0,0,11.76,3.31,0
20200709:0411,0,0,0,11.35,3.38,0
20200709:0511,42.93,16.29,5.43,11.08,3.38,0
20200709:0611,284.8,57.7,13.5,11.27,2.97,0
20200709:0711,1322.48,222.22,22.17,11.79,4.28,0
20200709:0811,1598.97,251.51,31.08,12.39,4.07,0
20200709:0911,3050.39,464.42,39.85,13.24,4.21,0
20200709:1011,4110.48,628.9,47.95,14.03,3.86,0
20200709:1111,6328.79,998.62,54.54,15.34,3.66,0
20200709:1211,6318.34,1004.5,58.41,16.19,3.59,0
20200709:1311,4756.51,744.15,58.42,16.63,3.66,0
20200709:1411,5356.77,840.8,54.57,16.9,3.86,0
20200709:1511,3445.6,533.92,47.98,16.88,4,0
20200709:1611,3339.63,515.7,39.89,16.58,4.14,0
20200709:1711,2158.68,339.72,31.12,16.07,4.14,0
20200709:1811,1028.02,173.18,22.2,15.19,4,0
20200709:1911,387.76,74.83,13.54,13.85,3.93,0
20200709:2011,108.9,28.96,5.46,13.03,3.59,0
20200709:2111,0,0,0,12.11,3.1,0
20200709:2211,0,0,0,11.34,2.83,0
20200709:2311,0,0,0,10.84,2.62,0
20200710:0011,0,0,0,10.42,2.55,0
20200710:0111,0,0,0,10.02,2.48,0
20200710:0211,0,0,0,9.62,2.48,0
20200710:0311,0,0,0,9.54,2.41,0
20200710:0411,0,0,0,9.31,2.34,0
20200710:0511,100.98,27.15,5.31,9.06,2.21,0
20200710:0611,233.64,65.62,13.39,9.79,1.93,0
20200710:0711,1406.51,243.84,22.05,10.86,2.41,0
20200710:0811,2388.59,368.79,30.97,11.9,3.38,0
20200710:0911,2629.12,402.77,39.74,13.05,3.66,0
20200710:1011,1857.79,291.2,47.83,13.86,3.45,0
20200710:1111,5381.32,839.65,54.42,14.54,3.31,0
20200710:1211,3583.72,554.22,58.29,14.94,3.31,0
20200710:1311,3462.39,537.19,58.31,15.7,3.38,0
20200710:1411,5390.59,846.67,54.47,15.95,3.38,0
20200710:1511,5191.08,808.39,47.9,15.78,3.52,0
20200710:1611,4021.7,620.75,39.81,15.74,3.45,0
20200710:1711,1108.17,182.68,31.05,15.58,3.45,0
20200710:1811,827.32,141.62,22.13,15.07,3.52,0
20200710:1911,110.33,29.33,13.46,14.07,3.1,0
20200710:2011,88.62,25.34,5.38,13.54,2.76,0
20200710:2111,0,0,0,12.41,2.21,0
20200710:2211,0,0,0,11.37,1.79,0
20200710:2311,0,0,0,10.29,1.79,0
20200711:0011,0,0,0,9.36,1.79,0
20200711:0111,0,0,0,8.64,1.52,0
20200711:0211,0,0,0,7.82,1.38,0
20200711:0311,0,0,0,6.95,1.45,0
20200711:0411,0,0,0,6.6,1.45,0
20200711:0511,92.19,25.34,5.18,6.46,1.45,0
20200711:0611,256.45,67.23,13.26,8.17,0.97,0
20200711:0711,1419.9,252.74,21.93,11.58,0.97,0
20200711:0811,2950.2,462.81,30.85,12.83,1.52,0
20200711:0911,2928.66,454,39.62,13.65,1.66,0
20200711:1011,1520.96,243.63,47.71,14.34,1.72,0
20200711:1111,4338.81,682.63,54.29,14.94,1.79,0
20200711:1211,5153.94,820.3,58.16,15.34,2,0
20200711:1311,3336.62,522,58.19,15.46,2.07,0
20200711:1411,3502.38,547.97,54.36,15.74,2.14,0
20200711:1511,4655.06,733.05,47.81,15.88,2.14,0
20200711:1611,4335.33,680.03,39.73,15.95,2,0
20200711:1711,2848.74,452.41,30.97,15.98,1.72,0
20200711:1811,1374.99,242.99,22.05,15.81,1.03,0
20200711:1911,443.2,85.13,13.38,15.92,0.62,0
20200711:2011,0,4.53,5.29,15.45,0.48,0
20200711:2111,0,0,0,14.33,0.69,0
20200711:2211,0,0,0,12.95,1.03,0
20200711:2311,0,0,0,11.23,1.38,0
20200712:0011,0,0,0,10.34,1.45,0
20200712:0111,0,0,0,10,1.52,0
20200712:0211,0,0,0,9.74,1.66,0
20200712:0311,0,0,0,9.68,1.72,0
20200712:0411,0,0,0,9.95,1.93,0
20200712:0511,4.91,7.24,5.05,10.32,2.28,0
20200712:0611,150.56,35.95,13.14,11.06,2.69,0
20200712:0711,797.62,135.93,21.81,12.43,2.55,0
20200712:0811,874.68,146.64,30.72,13.08,3.1,0
20200712:0911,1159.49,188.42,39.49,13.34,3.31,0
20200712:1011,654.9,114.46,47.58,13.65,3.59,0
20200712:1111,883.32,148.52,54.15,14.66,5.03,0
20200712:1211,785.19,134.33,58.02,15.13,5.1,0
20200712:1311,993.09,165.55,58.06,15.97,5.03,0
20200712:1411,1686.48,268.64,54.25,16.99,5.38,0
20200712:1511,1217.38,199.6,47.71,17.28,5.38,0
20200712:1611,892.19,151.36,39.65,17.12,5.24,0
20200712:1711,658.63,116.36,30.89,16.7,4.69,0
20200712:1811,151.83,36.89,21.97,16.54,4.62,0
20200712:1911,32.08,14.19,13.29,15.68,4.41,0
20200712:2011,0,3.62,5.19,15.44,4.34,0
20200712:2111,0,0,0,15.26,4.28,0
20200712:2211,0,0,0,15.16,4.14,0
20200712:2311,0,0,0,15.07,4,0
20200713:0011,0,0,0,15,3.93,0
20200713:0111,0,0,0,14.93,3.86,0
20200713:0211,0,0,0,14.86,3.72,0
20200713:0311,0,0,0,14.71,3.59,0
20200713:0411,0,0,0,14.47,3.45,0
20200713:0511,0,5.43,4.92,14.13,3.45,0
20200713:0611,165.05,38.79,13.01,13.83,3.17,0
20200713:0711,902.88,152.63,21.68,13.32,3.31,0
20200713:0811,1745.25,275.15,30.6,13.72,3.45,0
20200713:0911,2850.01,438.85,39.36,14.16,3.03,0
20200713:1011,2520.14,390.62,47.44,14.92,3.52,0
20200713:1111,3060.37,474.12,54.01,15.79,3.66,0
20200713:1211,1946.66,307.59,57.88,16.15,3.59,0
20200713:1311,2659.06,414.83,57.92,16.24,3.52,0
20200713:1411,1696.15,270.54,54.13,16.46,3.66,0
20200713:1511,2082.17,326.9,47.61,16.1,3.93,0
20200713:1611,1490.94,238.92,39.55,15.7,3.86,0
20200713:1711,2345.98,367.57,30.8,15.34,3.79,0
20200713:1811,1044.81,176.29,21.88,14.84,3.66,0
20200713:1911,303.26,61.54,13.2,14.69,3.03,0
20200713:2011,0,3.62,5.09,14.21,2.83,0
20200713:2111,0,0,0,13.53,2.76,0
20200713:2211,0,0,0,13.05,2.76,0
20200713:2311,0,0,0,12.67,2.62,0
20200714:0011,0,0,0,12.29,2.34,0
20200714:0111,0,0,0,11.91,2.07,0
20200714:0211,0,0,0,11.66,2.07,0
20200714:0311,0,0,0,11.46,2.14,0
20200714:0411,0,0,0,11.27,2.07,0
20200714:0511,84.82,24.44,4.78,11.29,2.07,0
20200714:0611,348.48,68.1,12.88,11.68,2,0
20200714:0711,560.02,100.01,21.55,12.4,2.83,0
20200714:0811,343.57,67.16,30.47,12.6,3.1,0
20200714:0911,511.39,92.71,39.23,12.63,2.9,0
20200714:1011,689.44,119.19,47.3,12.81,3.38,0
20200714:1111,881.58,147.57,53.86,13.35,4.28,0
20200714:1211,1081.24,176.9,57.73,13.5,4.07,0
20200714:1311,867.24,145.68,57.78,13.74,4.48,0
20200714:1411,1266.41,204.33,54.01,14.19,4.62,0
20200714:1511,742.74,127.71,47.5,14.52,5.24,0
20200714:1611,793.82,135.28,39.45,14.42,4.55,0
20200714:1711,439.56,82.3,30.7,14.09,3.86,0
20200714:1811,222.31,48.24,21.78,13.83,4,0
20200714:1911,74.69,22.7,13.1,13.38,3.52,0
20200714:2011,0,3.62,4.98,13.16,3.45,0
20200714:2111,0,0,0,12.93,3.24,0
20200714:2211,0,0,0,12.74,3.24,0
20200714:2311,0,0,0,12.58,3.31,0
20200715:0011,0,0,0,12.5,3.45,0
20200715:0111,0,0,0,12.41,3.45,0
20200715:0211,0,0,0,12.37,3.45,0
20200715:0311,0,0,0,12.42,3.52,0
20200715:0411,0,0,0,12.52,3.59,0
20200715:0511,79.36,23.53,4.64,12.61,3.59,0
20200715:0611,358.46,76.33,12.74,12.82,3.59,0
20200715:0711,1317.73,233.97,21.42,13.23,3.45,0
20200715:0811,2448.94,380.04,30.33,14.15,5.03,0
20200715:0911,3517.91,536.07,39.09,14.79,4.83,0
20200715:1011,3279.75,503.46,47.16,15.35,4.41,0
20200715:1111,5125.35,795.78,53.71,15.84,4.14,0
20200715:1211,6259.89,988.81,57.57,16.71,4.21,0
20200715:1311,5435.1,851.88,57.63,17.47,4.55,0
20200715:1411,4096.07,636.77,53.87,17.84,4.55,0
20200715:1511,2775.96,432.29,47.38,17.79,4.76,0
20200715:1611,2583.27,402.25,39.35,17.28,4.48,0
20200715:1711,1499.26,241.56,30.6,16.71,4,0
20200715:1811,802.93,138.63,21.68,16.08,4.07,0
20200715:1911,231.82,50.14,12.99,15.63,3.52,0
20200715:2011,0,4.53,4.87,15.18,3.17,0
20200715:2111,0,0,0,14.71,3.03,0
20200715:2211,0,0,0,14.32,2.97,0
20200715:2311,0,0,0,14.07,2.69,0
20200716:0011,0,0,0,13.91,2.48,0
20200716:0111,0,0,0,13.92,2.48,0
20200716:0211,0,0,0,13.91,2.55,0
20200716:0311,0,0,0,13.92,2.62,0
20200716:0411,0,0,0,13.95,2.62,0
20200716:0511,73.97,22.63,4.49,14.03,2.69,0
20200716:0611,285.91,58.65,12.6,14.31,3.79,0
20200716:0711,888.15,151.45,21.28,14.59,3.31,0
20200716:0811,1084.72,178.95,30.19,15.27,3.59,0
20200716:0911,1968.36,309.02,38.95,15.83,4.21,0
20200716:1011,4630.35,715.48,47.01,16.33,4.21,0
20200716:1111,5636.27,882.34,53.56,16.94,4.34,0
20200716:1211,4009.42,622.13,57.41,17.39,4.69,0
20200716:1311,3981.38,617.59,57.48,17.79,5.1,0
20200716:1411,2751.09,428.53,53.74,17.99,5.52,0
20200716:1511,3158.89,489.11,47.26,18.02,5.59,0
20200716:1611,1694.17,270.16,39.23,17.71,5.59,0
20200716:1711,910.88,154.23,30.49,17.32,5.45,0
20200716:1811,495.55,91.76,21.57,16.91,5.03,0
20200716:1911,78.41,23.65,12.88,16.14,4.07,0
20200716:2011,0,3.62,4.75,15.47,3.93,0
20200716:2111,0,0,0,14.87,4,0
20200716:2211,0,0,0,14.56,4.28,0
20200716:2311,0,0,0,14.51,4.28,0
20200717:0011,0,0,0,14.56,4.28,0
20200717:0111,0,0,0,14.64,4.34,0
20200717:0211,0,0,0,14.68,4.41,0
20200717:0311,0,0,0,14.69,4.41,0
20200717:0411,0,0,0,14.69,4.41,0
20200717:0511,0,3.62,4.34,14.67,4.41,0
20200717:0611,99.48,27.43,12.45,14.71,4.41,0
20200717:0711,621.09,110.15,21.14,15.18,5.79,0
20200717:0811,468.71,87.03,30.05,15.08,4.62,0
20200717:0911,581.49,104.06,38.81,15.18,5.1,0
20200717:1011,778.14,133.38,46.86,15.18,4.55,0
20200717:1111,1150.06,188.25,53.4,15.12,4.07,0
20200717:1211,2449.26,379.73,57.24,15.11,4.41,0
20200717:1311,1998.93,313.09,57.32,15.21,4.55,0
20200717:1411,1544.48,246.27,53.59,15.18,4.21,0
20200717:1511,1595.33,253.96,47.13,14.93,3.24,0
20200717:1611,1316.46,212.66,39.12,14.78,3.24,0
20200717:1711,657.52,115.41,30.38,14.72,3.24,0
20200717:1811,315.85,63.38,21.46,14.63,2.83,0
20200717:1911,28.04,13.24,12.76,14.69,2.97,0
20200717:2011,0,3.62,4.63,14.63,2.9,0
20200717:2111,0,0,0,14.52,2.62,0
20200717:2211,0,0,0,14.35,2.34,0
20200717:2311,0,0,0,14.09,2.21,0
20200718:0011,0,0,0,13.79,2.21,0
20200718:0111,0,0,0,13.54,2.07,0
20200718:0211,0,0,0,13.18,1.79,0
20200718:0311,0,0,0,12.95,1.66,0
20200718:0411,0,0,0,12.81,1.66,0
20200718:0511,1.98,6.34,4.19,12.56,1.66,0
20200718:0611,407.56,80.13,12.3,12.37,1.79,0
20200718:0711,1308.3,231.49,20.99,12.38,2.28,0
20200718:0811,2965.25,462.51,29.91,12.79,2.55,0
20200718:0911,4116.34,634.16,38.66,13.75,2.48,0
20200718:1011,2343.61,365.54,46.71,14.64,2.48,0
20200718:1111,5650.92,895.11,53.23,15.48,2.69,0
20200718:1211,2378.77,372.88,57.07,16.04,3.1,0
20200718:1311,2447.6,382.92,57.15,16.19,3.45,0
20200718:1411,3255.04,505.06,53.44,16.37,3.72,0
20200718:1511,4407.8,684.76,47,16.77,3.72,0
20200718:1611,4252.72,658.44,38.99,16.56,3.59,0
20200718:1711,2947.98,463.79,30.26,16.22,3.52,0
20200718:1811,1380.38,249,21.34,15.88,3.38,0
20200718:1911,247.18,65.42,12.64,15.21,3.03,0
20200718:2011,0,4.53,4.49,14.32,2.55,0
20200718:2111,0,0,0,13.23,2.28,0
20200718:2211,0,0,0,12.45,2.07,0
20200718:2311,0,0,0,11.47,2,0
20200719:0011,0,0,0,10.51,2,0
20200719:0111,0,0,0,9.84,2,0
20200719:0211,0,0,0,9.11,1.79,0
20200719:0311,0,0,0,8.45,1.79,0
20200719:0411,0,0,0,7.77,1.66,0
20200719:0511,62.41,19.91,4.03,7.12,1.52,0
20200719:0611,257.56,61.64,12.15,8.28,1.03,0
20200719:0711,1331.91,239.59,20.84,11.18,0.9,0
20200719:0811,2821.9,441.63,29.76,12.73,1.93,0
20200719:0911,3470.94,537.1,38.51,13.82,1.86,0
20200719:1011,5255.63,828.79,46.55,14.77,2.07,0
20200719:1111,5245.02,830.92,53.06,15.57,2.34,0
20200719:1211,4602,726.74,56.89,16.18,2.34,0
20200719:1311,6061.73,976.75,56.98,16.77,2.62,0
20200719:1411,5750.87,918.07,53.28,17.3,2.97,0
20200719:1511,5262.84,830.92,46.86,17.36,3.03,0
20200719:1611,4086.64,637.63,38.86,17.28,3.03,0
20200719:1711,2868.07,453.85,30.13,17.07,3.17,0
20200719:1811,1366.52,246.82,21.21,16.4,3.1,0
20200719:1911,237.84,64.22,12.51,15.52,2.69,0
20200719:2011,78.49,23.53,4.36,14.44,2.28,0
20200719:2111,0,0,0,13.02,2.14,0
20200719:2211,0,0,0,11.81,2,0
20200719:2311,0,0,0,10.64,1.72,0
20200720:0011,0,0,0,9.51,1.45,0
20200720:0111,0,0,0,8.8,1.17,0
20200720:0211,0,0,0,8.7,0.97,0
20200720:0311,0,0,0,7.99,1.1,0
20200720:0411,0,0,0,7.65,1.03,0
20200720:0511,57.42,19.01,3.87,7.93,0.83,0
20200720:0611,242.67,59.25,11.99,8.61,0.34,0
20200720:0711,1272.11,222.95,20.69,10.49,0.07,0
20200720:0811,2722.5,431.34,29.61,12.1,0.21,0
20200720:0911,4095.27,648.26,38.35,13.36,0.28,0
20200720:1011,4009.58,634.3,46.38,14.37,0.69,0
20200720:1111,3660.86,577.1,52.88,15.51,1.31,0
20200720:1211,4696.88,743.62,56.71,16.33,2.28,0
20200720:1311,5787.46,927.09,56.8,16.7,2.69,0
20200720:1411,6170.39,986.83,53.12,16.69,3.03,0
20200720:1511,5322.4,836.81,46.71,16.91,3.24,0
20200720:1611,3361.88,521.29,38.73,16.16,3.03,0
20200720:1711,1694.72,270.73,30,16.02,3.03,0
20200720:1811,1025.64,174.75,21.08,15.77,2.76,0
20200720:1911,381.19,74.63,12.37,15.1,2.28,0
20200720:2011,59.8,19.91,4.21,14.38,1.86,0
20200720:2111,0,0,0,13.12,1.72,0
20200720:2211,0,0,0,11.92,1.72,0
20200720:2311,0,0,0,10.96,1.66,0
20200721:0011,0,0,0,10.04,1.59,0
20200721:0111,0,0,0,9.17,1.45,0
20200721:0211,0,0,0,8.64,1.31,0
20200721:0311,0,0,0,9.04,0.97,0
20200721:0411,0,0,0,8.67,1.03,0
20200721:0511,2.14,6.34,3.71,8.39,1.17,0
20200721:0611,386.18,74.8,11.84,9.25,0.97,0
20200721:0711,1237.26,219.54,20.54,12.15,1.1,0
20200721:0811,1668.66,264.84,29.45,12.86,1.45,0
20200721:0911,2985.05,461.79,38.19,14.04,2,0
20200721:1011,4269.99,662.6,46.21,14.82,2.55,0
20200721:1111,5049,793.45,52.71,15.85,2.83,0
20200721:1211,5302.68,837.11,56.52,16.37,3.1,0
20200721:1311,3853.48,600.02,56.61,16.71,3.52,0
20200721:1411,4717.15,736.64,52.95,16.93,3.72,0
20200721:1511,4379.05,680.27,46.55,16.82,3.66,0
20200721:1611,2720.68,423.53,38.58,16.46,3.17,0
20200721:1711,1392.34,225.65,29.86,16.26,3.17,0
20200721:1811,503.4,92.71,20.94,15.92,3.38,0
20200721:1911,88.7,25.54,12.23,15.57,2.76,0
20200721:2011,17.98,10.86,4.06,14.91,2.55,0
20200721:2111,0,0,0,14.17,2.76,0
20200721:2211,0,0,0,13.74,3.03,0
20200721:2311,0,0,0,13.48,3.31,0
20200722:0011,0,0,0,13.4,3.79,0
20200722:0111,0,0,0,13.37,4.07,0
20200722:0211,0,0,0,13.14,4.41,0
20200722:0311,0,0,0,13.22,4.48,0
20200722:0411,0,0,0,13.31,4.48,0
20200722:0511,0,1.81,3.54,13.56,4.48,0
20200722:0611,239.1,51.05,11.67,13.91,4.34,0
20200722:0711,376.52,72.84,20.38,14.82,4.14,0
20200722:0811,976.38,162.89,29.3,15.43,4.34,0
20200722:0911,1134.22,186.55,38.03,16.33,5.17,0
20200722:1011,898.52,152.3,46.04,17.17,5.38,0
20200722:1111,896.62,152.3,52.52,17.57,5.24,0
20200722:1211,1349.17,219.47,56.33,17.66,5.38,0
20200722:1311,1406.99,227.98,56.42,17.7,5.66,0
20200722:1411,1137.79,188.25,52.77,17.55,4.62,0
20200722:1511,882.53,150.41,46.39,17.68,4.48,0
20200722:1611,1035.14,173.11,38.43,17.65,4.48,0
20200722:1711,156.5,37.84,29.72,17.5,4.83,0
20200722:1811,342.86,68.11,20.8,16.76,4.9,0
20200722:1911,333.83,67.12,12.08,16.04,4.48,0
20200722:2011,37.54,15.39,3.91,15.51,4.28,0
20200722:2111,0,0,0,15.25,4,0
20200722:2211,0,0,0,15.13,3.86,0
20200722:2311,0,0,0,15.05,3.79,0
20200723:0011,0,0,0,14.99,3.66,0
20200723:0111,0,0,0,14.87,3.45,0
20200723:0211,0,0,0,14.84,3.24,0
20200723:0311,0,0,0,14.77,2.9,0
20200723:0411,0,0,0,14.69,2.62,0
20200723:0511,0,1.81,3.36,14.56,2.41,0
20200723:0611,311.73,63.08,11.51,14.46,1.93,0
20200723:0711,816.47,140.82,20.22,14.32,2.41,0
20200723:0811,721.2,124.87,29.13,14.56,2.9,0
20200723:0911,1708.98,270.41,37.86,15.19,3.66,0
20200723:1011,3085.16,476.52,45.87,16.05,3.93,0
20200723:1111,2580.26,402.15,52.33,16.36,3.79,0
20200723:1211,3354.83,521.95,56.13,17.03,3.79,0
20200723:1311,2863.16,447.61,56.22,17.23,3.52,0
20200723:1411,2421.06,381.39,52.59,17.64,3.24,0
20200723:1511,2634.51,413.38,46.23,17.69,3.17,0
20200723:1611,2752.68,430.76,38.28,17.57,3.03,0
20200723:1711,1222.53,201.46,29.57,17.25,2.69,0
20200723:1811,575.94,104.54,20.65,17.05,2.41,0
20200723:1911,336.68,67.99,11.93,16.77,2,0
20200723:2011,0,2.72,3.75,16.13,1.79,0
20200723:2111,0,0,0,15.25,2,0
20200723:2211,0,0,0,14.44,1.93,0
20200723:2311,0,0,0,14.05,1.66,0
20200724:0011,0,0,0,13.59,1.38,0
20200724:0111,0,0,0,13.17,1.31,0
20200724:0211,0,0,0,12.9,1.45,0
20200724:0311,0,0,0,12.74,1.31,0
20200724:0411,0,0,0,12.51,1.38,0
20200724:0511,0,3.62,3.19,12.47,1.59,0
20200724:0611,20.28,11.35,11.34,12.81,1.59,0
20200724:0711,281.56,57.7,20.05,13.55,3.03,0
20200724:0811,948.74,158.13,28.97,14.15,3.52,0
20200724:0911,1579.33,250.91,37.7,14.95,4,0
20200724:1011,956.02,159.87,45.69,15.35,4,0
20200724:1111,679.54,119.19,52.14,15.83,3.66,0
20200724:1211,616.02,109.73,55.92,15.97,3.59,0
20200724:1311,921.97,155.14,56.02,15.77,3.93,0
20200724:1411,986.67,164.6,52.4,15.69,4.14,0
20200724:1511,959.67,160.82,46.06,15.79,3.59,0
20200724:1611,535.31,97.44,38.12,16,5.31,0
20200724:1711,730.3,126.76,29.42,15.94,4.14,0
20200724:1811,485.1,89.87,20.5,16.01,4.41,0
20200724:1911,114.36,30.27,11.77,16.16,4.14,0
20200724:2011,0,2.72,3.58,15.82,4.07,0
20200724:2111,0,0,0,15.47,3.79,0
20200724:2211,0,0,0,15.1,3.52,0
20200724:2311,0,0,0,14.74,3.38,0
20200725:0011,0,0,0,14.41,3.31,0
20200725:0111,0,0,0,14.19,3.31,0
20200725:0211,0,0,0,14,3.45,0
20200725:0311,0,0,0,13.87,3.31,0
20200725:0411,0,0,0,13.67,3.38,0
20200725:0511,0,1.81,3.01,13.44,3.38,0
20200725:0611,341.04,67.78,11.17,13.31,3.17,0
20200725:0711,216.53,47.3,19.88,13.68,2.83,0
20200725:0811,1275.36,206.36,28.8,13.94,2.83,0
20200725:0911,1354.64,217.71,37.52,14.3,3.45,0
20200725:1011,1689.73,267.02,45.51,14.82,4.28,0
20200725:1111,987.78,164.6,51.94,15.39,3.93,0
20200725:1211,876.66,148.52,55.71,15.91,3.93,0
20200725:1311,3183.84,493.45,55.81,16.07,3.79,0
20200725:1411,4029.93,620.41,52.21,15.24,4,0
20200725:1511,3529.39,544.49,45.88,16.13,3.93,0
20200725:1611,3118.9,480.62,37.95,15.79,3.86,0
20200725:1711,2032.35,321.72,29.25,16.43,3.86,0
20200725:1811,1273.38,227.03,20.33,15.1,4.62,0
20200725:1911,312.44,63.28,11.6,14.7,3.66,0
20200725:2011,25.66,12.67,3.4,14.3,3.59,0
20200725:2111,0,0,0,13.66,3.24,0
20200725:2211,0,0,0,13.22,3.17,0
20200725:2311,0,0,0,12.81,3.45,0
20200726:0011,0,0,0,12.71,3.86,0
20200726:0111,0,0,0,12.66,4,0
20200726:0211,0,0,0,12.78,4.07,0
20200726:0311,0,0,0,12.85,4.21,0
20200726:0411,0,0,0,12.99,4.55,0
20200726:0511,0,1.81,2.83,13.09,4.41,0
20200726:0611,335.89,67.72,10.99,13.06,4.07,0
20200726:0711,1177.15,209.34,19.71,13.41,2.97,0
20200726:0811,2018.57,317.2,28.63,13.7,2.9,0
20200726:0911,2253.87,349.99,37.35,14.5,3.31,0
20200726:1011,4238.86,651.69,45.32,15.2,3.86,0
20200726:1111,4814.49,745.21,51.74,15.74,4.14,0
20200726:1211,6237.55,980.3,55.5,16.02,4.34,0
20200726:1311,3838.9,592.97,55.6,16.25,4.41,0
20200726:1411,3328.54,514.26,52.01,16.34,4.34,0
20200726:1511,3509.04,539.87,45.69,16.02,4.34,0
20200726:1611,744.72,128.65,37.78,15.5,4.21,0
20200726:1711,538.08,97.44,29.09,14.7,3.93,0
20200726:1811,84.43,24.6,20.17,13.94,3.52,0
20200726:1911,54.96,18.92,11.43,13.99,1.86,0
20200726:2011,0,1.81,3.23,13.62,1.59,0
20200726:2111,0,0,0,12.97,1.66,0
20200726:2211,0,0,0,13.16,2,0
20200726:2311,0,0,0,13.4,2.62,0
20200727:0011,0,0,0,13.81,3.38,0
20200727:0111,0,0,0,14.15,3.79,0
20200727:0211,0,0,0,14.24,3.59,0
20200727:0311,0,0,0,14.23,3.17,0
20200727:0411,0,0,0,14.17,2.76,0
20200727:0511,0,1.81,2.64,14.06,2.07,0
20200727:0611,260.41,54.67,10.82,14.15,0.97,0
20200727:0711,902.8,155.12,19.54,13.7,2.9,0
20200727:0811,2046.37,318.95,28.46,12.94,4.21,0
20200727:0911,3128.72,472.11,37.17,12.25,4.83,0
20200727:1011,4112.3,620.09,45.13,13.27,5.52,0
20200727:1111,6026.57,924.04,51.53,14.87,5.93,0
20200727:1211,6711.09,1043.12,55.28,15.62,5.86,0
20200727:1311,4724.2,726.01,55.38,16.39,5.86,0
20200727:1411,3753.6,575.91,51.8,16.3,5.52,0
20200727:1511,3795.03,579.86,45.5,16.15,5.72,0
20200727:1611,2547.86,394.19,37.6,16.24,4.97,0
20200727:1711,2026.17,319.87,28.91,16.4,4.9,0
20200727:1811,519.79,95.32,20,16.31,5.31,0
20200727:1911,94.17,26.49,11.25,15.02,4.34,0
20200727:2011,0,1.81,3.04,14.26,4.07,0
20200727:2111,0,0,0,13.42,3.59,0
20200727:2211,0,0,0,12.64,3.31,0
20200727:2311,0,0,0,12.24,3.24,0
20200728:0011,0,0,0,12.02,3.31,0
20200728:0111,0,0,0,11.72,3.31,0
20200728:0211,0,0,0,11.72,3.31,0
20200728:0311,0,0,0,11.49,3.03,0
20200728:0411,0,0,0,11.14,2.83,0
20200728:0511,0,4.53,2.45,10.67,2.83,0
20200728:0611,291.54,58.98,10.64,10.98,2.9,0
20200728:0711,1042.98,178.59,19.36,12.04,3.03,0
20200728:0811,2780.95,430.83,28.28,12.88,4.48,0
20200728:0911,4197.12,638.05,36.99,13.94,4.34,0
20200728:1011,2511.27,387.67,44.94,14.74,4.21,0
20200728:1111,2375.05,368.69,51.32,15.31,4.48,0
20200728:1211,5507.96,855.89,55.05,15.39,4.41,0
20200728:1311,2340.36,364.13,55.15,15.64,4.69,0
20200728:1411,4290.9,659.95,51.59,15.49,4.48,0
20200728:1511,3931.33,603.53,45.31,15.63,4.34,0
20200728:1611,3319.75,509.63,37.42,15.79,4.41,0
20200728:1711,2389.94,375.02,28.74,15.72,4.21,0
